nombre,codigo,hexadecimal,libro,cartilla
Amarillo,1406,D59E04,Color de Línea,Domestic-Gloss
Azul,1408,19376A,Color de Línea,Domestic-Gloss
Rojo,1404,A31310,Color de Línea,Domestic-Gloss
Naranja,1432,CF4216,Color de Línea,Domestic-Gloss
Verde Cromo,1414,071D12,Color de Línea,Domestic-Gloss
Menta ,1427,3E8863,Color de Línea,Domestic-Gloss
Marfil,1420,CAB587,Color de Línea,Domestic-Gloss
Celeste,1425,5195A0,Color de Línea,Domestic-Gloss
Arrecife ,1436,146374,Color de Línea,Domestic-Gloss
Melocotón,1477,CD9A71,Color de Línea,Domestic-Gloss
Beige,1440,C3AC8C,Color de Línea,Domestic-Gloss
Teja,1439,983625,Color de Línea,Domestic-Gloss
Amarillo Suave,1441,E5D393,Color de Línea,Domestic-Gloss
Turquesa,1418,1E8175,Color de Línea,Domestic-Gloss
Fucsia,1422,CC3546,Color de Línea,Domestic-Gloss
Chocolate,1476,4C3134,Color de Línea,Domestic-Gloss
Verde Césped,1428,16612B,Color de Línea,Domestic-Gloss
Blanco Hueso,1442,D0C8B2,Color de Línea,Domestic-Gloss
Cielo,1438,7492B8,Color de Línea,Domestic-Gloss
Rojo Óxido,1430,540B0B,Color de Línea,Domestic-Gloss
Rosado,1421,C5696B,Color de Línea,Domestic-Gloss
Blanco,1400,FFFFFF,Color de Línea,Domestic-Gloss
Negro,1402,020202,Color de Línea,Domestic-Gloss
Aqual,4216,94C2C5,Color de Línea,Royal
Marfil,4212,D3D2BE,Color de Línea,Royal
Mandarina,4229,C7914B,Color de Línea,Royal
Verde Jardín,4230,4D9645,Color de Línea,Royal
Azul Celeste,4228,72A3C2,Color de Línea,Royal
Lilas,4227,D6A2B7,Color de Línea,Royal
Blanco Hueso,4211,D7CBB3,Color de Línea,Royal
Menta,4217,A1C3B6,Color de Línea,Royal
Melón,4220,CAA86B,Color de Línea,Royal
Celeste,4219,A7B3B3,Color de Línea,Royal
Rosado,4225,BB997E,Color de Línea,Royal
Blanco,4210,FFFFFF,Color de Línea,Royal
Knockout Red,261A,B34242,,Domestic-Wall
Senate Blue,5223D,475677,,Domestic-Wall
Graycloth,4211P,AFAFAD,,Domestic-Wall
Amarillo Azteca,4328,D2AB1F,Color de Línea,Domestic-Wall
Rojo Ladrillo,4338,54211A,Color de Línea,Domestic-Wall
Azul Horizonte,4367,333D53,Color de Línea,Domestic-Wall
Florence Blue,1183D,0094B4,,Domestic-Wall
Blanco Hueso,4322,D1C08E,Color de Línea,Domestic-Wall
Puritan Black,4213D,2B3239,,Domestic-Wall
Bordeau Brow,154A,492D36,Color de Línea,Domestic-Wall
Stairstep,4054T,AA8D62,,Domestic-Wall
Coral Brust,127,D07C8E,,Domestic-Wall
Amarillo Tostado,4358,AA8338,Color de Línea,Domestic-Wall
Verde Cazador,4348,1A433F,Color de Línea,Domestic-Wall
Teja,4334,D0583D,Color de Línea,Domestic-Wall
Full Wine,192A,49283F,,Domestic-Wall
Blanco Antiguo,4321,FAF3D3,Color de Línea,Domestic-Wall
Piel De Durazno,4359,E7B389,Color de Línea,Domestic-Wall
Pueblo Blue,3163D,106375,,Domestic-Wall
Koralle,7093D,F35B4D,,Domestic-Wall
Young Yellow,279,FBE883,,Domestic-Wall
Colleen Green,23A,63963c,,Domestic-Wall
Acacia Aire,118,E4B6A7,,Domestic-Wall
Alpine Pink,7143D,E84A6D,,Domestic-Wall
Sorbete Naranja,4308,EB6234,Color de Línea,Domestic-Wall
Verde Manzana,4309,82A851,Color de Línea,Domestic-Wall
Melón Dulce,4360,FF793E,Color de Línea,Domestic-Wall
Carriage Red,191A,82363D,,Domestic-Wall
Oliva Verde,4314,867237,Color de Línea,Domestic-Wall
Arena Blanca,4357,BBB58B,Color de Línea,Domestic-Wall
Red Purple,193A,6C3657,,Domestic-Wall
Prophetic Purple,7183D,65467F,,Domestic-Wall
Marsh Marigold,7043D,ED9100,,Domestic-Wall
Mountain Shadow,203A,312B4E,,Domestic-Wall
Light Lichen,3084T,9DAD7E,,Domestic-Wall
Celeste París,4335,6B84A3,Color de Línea,Domestic-Wall
Blanco,4320,FFFFFF,Color de Línea,Domestic-Wall
Aqua Marina,5350,26735D,Color de Línea,Domestic-Enamel
Acero,5345,8B9298,Color de Línea,Domestic-Enamel
Teja,5339,541C1F,Color de Línea,Domestic-Enamel
Blanco Hueso,5340,FFE17C,Color de Línea,Domestic-Enamel
Verde Natural,5313,152A13,Color de Línea,Domestic-Enamel
Rojo Profundo,5349,7F060B,Color de Línea,Domestic-Enamel
Melocotón,5330,FD9968,Color de Línea,Domestic-Enamel
Manzana,5347,689f3b,Color de Línea,Domestic-Enamel
Celeste Pastel,5348,64A3FF,Color de Línea,Domestic-Enamel
Amarillo Caterpillar,5344,D89802,Color de Línea,Domestic-Enamel
Naranja,5346,FF2D00,Color de Línea,Domestic-Enamel
Terracota,5318,350F0E,Color de Línea,Domestic-Enamel
Vainilla,5308,F7B55D,Color de Línea,Domestic-Enamel
Jade,5306,16543c,Color de Línea,Domestic-Enamel
Arveja,5342,D2F67B,Color de Línea,Domestic-Enamel
Azul Imperio,5341,283E5C,Color de Línea,Domestic-Enamel
Rojo Alerta,5309,BC2723,Color de Línea,Domestic-Enamel
Maple,5315,31272A,Color de Línea,Domestic-Enamel
Dorado,5343,986B1D,Color de Línea,Domestic-Enamel
Aluminio,5319,9D9D9D,Color de Línea,Domestic-Enamel
Rosa Güipil,3E3-4,F99677,Color de Línea,Quetzaltenango
Amarillo Clásico,3I16,F4B34E,Color de Línea,Quetzaltenango
Rojo Cochinilla,3D3-7,BA2F0F,Color de Línea,Quetzaltenango
Celeste Liberal,6N1-5,82AFC9,Color de Línea,Quetzaltenango
Gris Cantera,6K1-6,786751,Color de Línea,Quetzaltenango
Rojo Hormigo,4E2-6,C2462E,Color de Línea,Quetzaltenango
Celeste Culahá,5P2-3,95CDD7,Color de Línea,Quetzaltenango
Azul Añil,5R1-6,314769,Color de Línea,Quetzaltenango
Amarillo Trigo,2H3-6,FF9B00,Color de Línea,Quetzaltenango
Rojo Tecomate,3D3-5,F56F72,Color de Línea,Quetzaltenango
Celeste Luna,6M2-3,9BB6CC,Color de Línea,Quetzaltenango
Verde Xelajú,1N1-4,7DF8b5,Color de Línea,Quetzaltenango
Rafael,Rafael,F6F1E1,Color de Línea,Centro-Historico
Corpus,Corpus,FFF8D8,Color de Línea,Centro-Historico
Reforma,Reforma,FFEAB3,Color de Línea,Centro-Historico
Minerma,Minerma,F5D05E,Color de Línea,Centro-Historico
Frappé,Frappé,FFE5B6,Color de Línea,Centro-Historico
Tamarindo,Tamarindo,EFCDBE,Color de Línea,Centro-Historico
Shakespeare,Shakespeare,FAC2A7,Color de Línea,Centro-Historico
Fatima,Fatima,F5B7BC,Color de Línea,Centro-Historico
Noviembre,Noviembre,FF97A2,Color de Línea,Centro-Historico
Yerbabuena,Yerbabuena,82FFE5,Color de Línea,Centro-Historico
Capricce,Capricce,82FFE5,Color de Línea,Centro-Historico
Moss,Moss,7F8C3E,Color de Línea,Centro-Historico
Romance,Romance,FFFDBA,Color de Línea,Centro-Historico
Atardecer,Atardecer,D5933C,Color de Línea,Centro-Historico
Mocca,Mocca,443529,Color de Línea,Centro-Historico
Estación Central,Estación Central,856E3D,Color de Línea,Centro-Historico
Encaje,Encaje,FFC5C2,Color de Línea,Centro-Historico
Pilastra,Pilastra,7E8287,Color de Línea,Centro-Historico
Sixtina,Sixtina,33527B,Color de Línea,Centro-Historico
Podium,Podium,004EC2,Color de Línea,Centro-Historico
Altar,Altar,FFF8FD,Color de Línea,Centro-Historico
Renacimiento,Renacimiento,F7F9FF,Color de Línea,Centro-Historico
Blanco Jet,Blanco Jet,DADBD5,Color de Línea,Centro-Historico
Citron,Citron,FFFF61,Color de Línea,Centro-Historico
Ebony,Ebony,F0DEAB,Color de Línea,Centro-Historico
Latte,Latte,F3AF57,Color de Línea,Centro-Historico
Melba,Melba,FF8A50,Color de Línea,Centro-Historico
Vainilla,Vainilla,F0B26C,Color de Línea,Centro-Historico
Tiffany,Tiffany,F9F1FF,Color de Línea,Centro-Historico
Flamingo,Flamingo,FF708C,Color de Línea,Centro-Historico
Celeste Deco,Celeste Deco,90AAFF,Color de Línea,Centro-Historico
Celeste Cielo,Celeste Cielo,809EB5,Color de Línea,Centro-Historico
Pistaccio,Pistaccio,BDAD80,Color de Línea,Centro-Historico
Boulevard,Boulevard,D9C2A6,Color de Línea,Centro-Historico
Rooseveth,Rooseveth,FEFFF4,Color de Línea,Centro-Historico
Revolucion ,Revolucion ,BAA59E,Color de Línea,Centro-Historico
Gris Sexta ,Gris Sexta ,8C7C74,Color de Línea,Centro-Historico
Catedral,Catedral,D9A300,Color de Línea,Centro-Historico
Ovalle,Ovalle,FF8E48,Color de Línea,Centro-Historico
Olvido,Olvido,986129,Color de Línea,Centro-Historico
Ferrocarril,Ferrocarril,A32829,Color de Línea,Centro-Historico
Verbena,Verbena,D12326,Color de Línea,Centro-Historico
Dulce Zapote,Dulce Zapote,913328,Color de Línea,Centro-Historico
Almendra,3625,9C8564,Color de Línea,Standard
Amarillo Amanecer,3624,FFC651,Color de Línea,Standard
Albaricoque,3626,FA9763,Color de Línea,Standard
Menta Clara ,3616,B3FFB8,Color de Línea,Standard
Rosa Suave,3630,FFA2B2,Color de Línea,Standard
Celeste Brisa,3634,A1BEE3,Color de Línea,Standard
Gris Mineral,3633,878181,Color de Línea,Standard
Café Quemado,3629,453133,Color de Línea,Standard
Amarillo Antiguo,3628,B25A00,Color de Línea,Standard
Aqua Intenso,3619,27828C,Color de Línea,Standard
Verde Verano,3617,BEC833,Color de Línea,Standard
Naranaja Otoño,3627,DE6012,Color de Línea,Standard
Palo Rosa,3631,A54457,Color de Línea,Standard
Azul Nacional,3635,1948A1,Color de Línea,Standard
Lavanda,3632,9365CF,Color de Línea,Standard
Óxido,3641,96473D,Color de Línea,Standard
Teja,3642,9F432A,Color de Línea,Standard
Verde Intenso,3603,2A4B44,Color de Línea,Standard
Aqua Vivo,3618,45D1C5,Color de Línea,Standard
Rojo Intenso,3601,9A1D23,Color de Línea,Standard
Amarillo Intenso,3600,DDBD1F,Color de Línea,Standard
Blanco Antiguo,3668,FFF4C2,Color de Línea,Standard
Blanco Hueso,3657,F3D2AC,Color de Línea,Standard
Melocotón,3692,D1A794,Color de Línea,Standard
Vainilla,3623,FFE79F,Color de Línea,Standard
Marfil,3669,E3C57B,Color de Línea,Standard
Blanco,3650,FFFFFF,Color de Línea,Standard
Amarillo Pensativo,4G3-6,ED914F,Color de Línea,Antigua-Guatemala
Amarllo Tridentino,4H1-8,7C380C,Color de Línea,Antigua-Guatemala
Rojo Concepcion,3E2-6,CE3E2D,Color de Línea,Antigua-Guatemala
Ocre,4F2-8,A44815,Color de Línea,Antigua-Guatemala
Rojo Santo Domingo,4C2-8,361714,Color de Línea,Antigua-Guatemala
Amarillo La Merced,3G2-6,EB8554,Color de Línea,Antigua-Guatemala
Amarillo Jocotenango,3I2-7,FCC854,Color de Línea,Antigua-Guatemala
Celeste Santiago,1Q1-4,78BFCE,Color de Línea,Antigua-Guatemala
Celeste Colonial,4R2-5,9CB2D1,Color de Línea,Antigua-Guatemala
Blanco Antiguo,2354,FEFACC,Color de Línea,Domestic-Plus
Blanco Rústico,2311,F3EFBC,Color de Línea,Domestic-Plus
Blanco Hueso,2303,FFE9B4,Color de Línea,Domestic-Plus
Amarillo Mostaza,2316,F2A94B,Color de Línea,Domestic-Plus
Mandarina,2307,FF5506,Color de Línea,Domestic-Plus
Amarillo Tulipan,2310,FFB507,Color de Línea,Domestic-Plus
Turquesa,2308,56DF9E,Color de Línea,Domestic-Plus
Verde Selva,2309,427D46,Color de Línea,Domestic-Plus
Teja,2312,C45336,Color de Línea,Domestic-Plus
Concreto,2313,755856,Color de Línea,Domestic-Plus
Verde Kiwi,2314,87BA3D,Color de Línea,Domestic-Plus
Rojo,2315,AF373A,Color de Línea,Domestic-Plus
Aqua,2317,0D9C84,Color de Línea,Domestic-Plus
Amarillo Verano,5704,E3A532,Color de Línea,Domestic-Ultra
Melocoton,EN-57-01,FFB074,Color de Línea,Domestic-Ultra
Azul Media Noche ,5717,060A1C,Color de Línea,Domestic-Ultra
Blanco Ostra,EN-57-06,9E9B95,Color de Línea,Domestic-Ultra
Rojo Fuego,5707,8C0011,Color de Línea,Domestic-Ultra
Beige Claro ,EN-57-02,D7C07D,Color de Línea,Domestic-Ultra
Amarillo Girasol,5705,FEA51A,Color de Línea,Domestic-Ultra
Verde Olivo,EN-57-07,457F47,Color de Línea,Domestic-Ultra
Azul Laser,5716,82952,Color de Línea,Domestic-Ultra
Verde Limon,EN-57-03,589C57,Color de Línea,Domestic-Ultra
Gris Piedra,5718,3F413A,Color de Línea,Domestic-Ultra
Blanco Vainilla,EN-57-08,CABE80,Color de Línea,Domestic-Ultra
Pino Viejo,5714,0D231C,Color de Línea,Domestic-Ultra
Beige Obscuro,EN-57-04,99825F,Color de Línea,Domestic-Ultra
Champagne,5703,FCC174,Color de Línea,Domestic-Ultra
Blanco Brillante,5700,FCFFFA,Color de Línea,Domestic-Ultra
Blanco Hueso,5702,E0CC92,Color de Línea,Domestic-Ultra
Gris Granito,EN-57-05,635E5F,Color de Línea,Domestic-Ultra
Tabaco,5711,29191C,Color de Línea,Domestic-Ultra
Blanco Mate,5701,FCFFFA,Color de Línea,Domestic-Ultra
Negro Brillante,5719,020202,Color de Línea,Domestic-Ultra
Negro Mate,720,020202,Color de Línea,Domestic-Ultra
Slight Embrace,1011P,feedaa,Magic-Book,Magic-Book
Potenitilla,1012T,fee47a,Magic-Book,Magic-Book
Sun Miracle,1013D,ffd89f,Magic-Book,Magic-Book
Yellow Pendant,1014T,F0DE6D,Magic-Book,Magic-Book
Yellow Fragrance,1015P,ffeba2,Magic-Book,Magic-Book
Greening Spring,101A,749731,Magic-Book,Magic-Book
Lemon White,1021P,f8e7a9,Magic-Book,Magic-Book
Chromatella,1022T,fade78,Magic-Book,Magic-Book
Yellow Jasmine,1023D,eec74a,Magic-Book,Magic-Book
Feather Gold,1024T,f1d87e,Magic-Book,Magic-Book
Single Feather,1025P,f2e2a7,Magic-Book,Magic-Book
Climbing Vine,102A,5e8533,Magic-Book,Magic-Book
Niblet,1031P,f8e7a7,Magic-Book,Magic-Book
Golden Ear,1032T,f9dd78,Magic-Book,Magic-Book
Evergold,1033D,eec84a,Magic-Book,Magic-Book
Golden Rain,1034T,f1d77e,Magic-Book,Magic-Book
Downy Fluff,1035P,f3e3aa,Magic-Book,Magic-Book
Bamboo Leaf,103A,476f3a,Magic-Book,Magic-Book
Delicate Spikes,1041P,E7F2B8,Magic-Book,Magic-Book
Yellow Grass,1042T,e5df88,Magic-Book,Magic-Book
Chartreuse,1043D,d0ca4e,Magic-Book,Magic-Book
Spiney Green,1044T,dcd879,Magic-Book,Magic-Book
Fern Tip,1045P,e2e5ae,Magic-Book,Magic-Book
Robust Vine,104A,2c5c3e,Magic-Book,Magic-Book
Sheer Green,1051P,e5eaa9,Magic-Book,Magic-Book
Young Shoot,1052T,dce48b,Magic-Book,Magic-Book
Spring Vigor,1053D,c1d151,Magic-Book,Magic-Book
Villa Green,1054T,cdd47b,Magic-Book,Magic-Book
Elusive Green,1055P,dce5a6,Magic-Book,Magic-Book
Lightly Green,1061P,dfe4a6,Magic-Book,Magic-Book
Greensheen,1062T,d0dc88,Magic-Book,Magic-Book
Lilting Green,1063D,afc351,Magic-Book,Magic-Book
Limeburst,1064T,c8d582,Magic-Book,Magic-Book
Tiny Leaf,1065P,dae4a9,Magic-Book,Magic-Book
Pale Parsnip,1071P,d8eab6,Magic-Book,Magic-Book
Parsnip,1072T,c5da8a,Magic-Book,Magic-Book
Green Willow,1073D,a2c153,Magic-Book,Magic-Book
Willow Wisp,1074T,c1cf8a,Magic-Book,Magic-Book
Willow Stem,1075P,d9e6af,Magic-Book,Magic-Book
Apple Cut,1081P,daeab9,Magic-Book,Magic-Book
Lime Freeze,1082T,badc8b,Magic-Book,Magic-Book
Frolic Green,1083D,8ec256,Magic-Book,Magic-Book
Grass Cut,1084T,b9d38b,Magic-Book,Magic-Book
Leaflet,1085P,d2e5b0,Magic-Book,Magic-Book
Kiwi Squeeze,1091P,d0eabb,Magic-Book,Magic-Book
Kiwi Cut,1092T,a8d88e,Magic-Book,Magic-Book
Kiwi,1093D,79ba5a,Magic-Book,Magic-Book
Shallot Shoot,1094T,adce8d,Magic-Book,Magic-Book
Shallot Peel,1095P,c6e0b3,Magic-Book,Magic-Book
Jasmine Scent,1101P,ceeabe,Magic-Book,Magic-Book
Jasmine Leaf,1102T,a3d693,Magic-Book,Magic-Book
Summer Field,1103D,70ba5e,Magic-Book,Magic-Book
Slender Stem,1104T,a4c990,Magic-Book,Magic-Book
Clear Pond,1105P,c4dfb5,Magic-Book,Magic-Book
Mild Mint,1111P,c5e1ba,Magic-Book,Magic-Book
Surrey Green,1112T,92d19a,Magic-Book,Magic-Book
Beanstalk,1113D,5cae67,Magic-Book,Magic-Book
Painted Fern,1114T,96c18c,Magic-Book,Magic-Book
Fern Wilt,1115P,b9d8b0,Magic-Book,Magic-Book
Country Club,111A,008d6f,Magic-Book,Magic-Book
Amenity,1121P,bbe4c7,Magic-Book,Magic-Book
Restful Green,1122T,89cea3,Magic-Book,Magic-Book
Green Fortune,1123D,4cab70,Magic-Book,Magic-Book
Spun Green,1124T,8dc49f,Magic-Book,Magic-Book
Party Mint,1125P,abd7b9,Magic-Book,Magic-Book
Green Garden,112A,118b6e,Magic-Book,Magic-Book
Crisp Green,1131P,b0e6d3,Magic-Book,Magic-Book
Aqua Glass,1132T,78cfb5,Magic-Book,Magic-Book
Turquoise Beads,1133D,32a987,Magic-Book,Magic-Book
Shalimar,1134T,7ec2ab,Magic-Book,Magic-Book
Falling Water,1135P,9fd4c3,Magic-Book,Magic-Book
Lush Foilage,113A,8080,Magic-Book,Magic-Book
Spring Splash,1141P,a1e4d6,Magic-Book,Magic-Book
Poolside,1142T,59ceba,Magic-Book,Magic-Book
Paradise Waters,1143D,00ae91,Magic-Book,Magic-Book
Shallow Pool,1144T,68c3b0,Magic-Book,Magic-Book
Scuba Sea,1145P,97dbcd,Magic-Book,Magic-Book
Courtyard Green,114A,2f7366,Magic-Book,Magic-Book
Cool Wave,1151P,a3e2db,Magic-Book,Magic-Book
Set Sail,1152T,5dc7c2,Magic-Book,Magic-Book
Aegean Sea,1153D,00a499,Magic-Book,Magic-Book
River Walk,1154T,67c1ba,Magic-Book,Magic-Book
Cruising,1155P,A3E3D3,Magic-Book,Magic-Book
Distant Blue,1161P,9ededd,Magic-Book,Magic-Book
Persian Blue,1162T,57c5c6,Magic-Book,Magic-Book
Turkish Tile,1163D,009d9d,Magic-Book,Magic-Book
Woven Blue,1164T,67b6b7,Magic-Book,Magic-Book
Smooth Way,1165P,93d1cf,Magic-Book,Magic-Book
Blue Breeze,1171P,a0dbe1,Magic-Book,Magic-Book
Engaging,1172T,5abfcc,Magic-Book,Magic-Book
Ocean Calm,1173D,0097a6,Magic-Book,Magic-Book
Riverside Blue,1174T,65b0bd,Magic-Book,Magic-Book
Blue Note,1175P,93ccd6,Magic-Book,Magic-Book
Blue Puff,1181P,9cd8e4,Magic-Book,Magic-Book
Blue Entry,1182T,57bbd0,Magic-Book,Magic-Book
Florence Blue,1183D,0094B4,Magic-Book,Magic-Book
Sensitive Blue,1184T,63acbe,Magic-Book,Magic-Book
Blue Blanket,1185P,90c6d1,Magic-Book,Magic-Book
Winsome Blue,1191P,9ad5e6,Magic-Book,Magic-Book
Story Blue,1192T,51b5d4,Magic-Book,Magic-Book
Fresh Blue,1193D,008aaf,Magic-Book,Magic-Book
Cozy Blue,1194T,5ca8b8,Magic-Book,Magic-Book
Blue Pillow,1195P,8fc5d1,Magic-Book,Magic-Book
Sunray,11A,EFDB10,Magic-Book,Magic-Book
Composed,1201P,a3d4e1,Magic-Book,Magic-Book
Blue Spell,1202T,5fb6d4,Magic-Book,Magic-Book
Elation,1203D,008aae,Magic-Book,Magic-Book
Blue Quilt,1204T,6b9fb0,Magic-Book,Magic-Book
Blue Horizon,1205P,90c6d6,Magic-Book,Magic-Book
Blue Drop,1211P,a5d2e1,Magic-Book,Magic-Book
Blue Music,1212T,68b6d1,Magic-Book,Magic-Book
Clipper Blue,1213D,0f89ab,Magic-Book,Magic-Book
Blue Repose,1214T,69abc1,Magic-Book,Magic-Book
Blue Yonder,1215P,9ac8d6,Magic-Book,Magic-Book
Green Gable,121A,006970,Magic-Book,Magic-Book
Little Girl Blue,1221P,aad5e1,Magic-Book,Magic-Book
Joppa Blue,1222T,6cb4d1,Magic-Book,Magic-Book
Blue Madonna,1223D,2787aa,Magic-Book,Magic-Book
Blue Edge,1224T,73a4b8,Magic-Book,Magic-Book
Blue Strata,1225P,9ec5d5,Magic-Book,Magic-Book
Dusky Blue,122A,0a7e92,Magic-Book,Magic-Book
Blue Odyssey,1231P,aad4e2,Magic-Book,Magic-Book
Kind Sky,1232T,72b2ce,Magic-Book,Magic-Book
Nautical Blue,1233D,3784a7,Magic-Book,Magic-Book
Blue Shoal,1234T,749eb0,Magic-Book,Magic-Book
Winter Day,1235P,9cbfcc,Magic-Book,Magic-Book
Dark Secret,123A,346875,Magic-Book,Magic-Book
Cool Morn,1241P,a9cbd8,Magic-Book,Magic-Book
Blue Comfort,1242T,73a5bb,Magic-Book,Magic-Book
Rainy Night,1243D,41758d,Magic-Book,Magic-Book
Rainy Morn,1244T,749aab,Magic-Book,Magic-Book
Blue Steam,1245P,9cbbc7,Magic-Book,Magic-Book
Ultra Blue,124A,126285,Magic-Book,Magic-Book
Yellow Cluster,12A,D9C60D,Magic-Book,Magic-Book
Glouchester Brown,131A,544b3f,Magic-Book,Magic-Book
Aged Bronze,132A,785935,Magic-Book,Magic-Book
Friar Tuck,133A,8c613e,Magic-Book,Magic-Book
Bedford,134A,755643,Magic-Book,Magic-Book
Vivid Lime,13A,9BB519,Magic-Book,Magic-Book
Saddle Brown,141A,5d483e,Magic-Book,Magic-Book
Field Oak,142A,854832,Magic-Book,Magic-Book
Red Earth,143A,784236,Magic-Book,Magic-Book
Red Country,144A,75493e,Magic-Book,Magic-Book
Citron Rind,14A,99B50E,Magic-Book,Magic-Book
Expresso,151A,51453f,Magic-Book,Magic-Book
Newtowne Brown,152A,674740,Magic-Book,Magic-Book
Tempest Brown,153A,5c3839,Magic-Book,Magic-Book
Bordeau Brown,154A,4f3c43,Magic-Book,Magic-Book
Flint Black,161A,333f3b,Magic-Book,Magic-Book
Tempest Sea,162A,2f5559,Magic-Book,Magic-Book
Ebony Blue,163A,273d4b,Magic-Book,Magic-Book
Black Night,164A,2a3335,Magic-Book,Magic-Book
Baked Gold,171A,8b643d,Magic-Book,Magic-Book
Verona Gold,172A,a56f34,Magic-Book,Magic-Book
Sable Brown,173A,825438,Magic-Book,Magic-Book
Sedona Clay,174A,af663f,Magic-Book,Magic-Book
Winestone,181A,6c3636,Magic-Book,Magic-Book
Red Bark,182A,7b3837,Magic-Book,Magic-Book
Earthy Red,183A,793d36,Magic-Book,Magic-Book
Rockies Red,184A,994031,Magic-Book,Magic-Book
Carriage Red,191A,82363D,Magic-Book,Magic-Book
Full Wine,192A,723b5a,Magic-Book,Magic-Book
Red Purple,193A,6C3657,Magic-Book,Magic-Book
Soaring Blue,194A,464b6e,Magic-Book,Magic-Book
Hearth Yellow,2011P,fff2bd,Magic-Book,Magic-Book
Translucent,2012P,e9e1bc,Magic-Book,Magic-Book
Almond Chip,2013P,e2dbc6,Magic-Book,Magic-Book
Seclusion Blue,201A,294e6d,Magic-Book,Magic-Book
Cream Sateen,2021P,f8ebb9,Magic-Book,Magic-Book
Sheer Batiste,2022P,f3eac0,Magic-Book,Magic-Book
Ivory Porcelain,2023P,f0e9cb,Magic-Book,Magic-Book
Blue Thunder,202A,234d7a,Magic-Book,Magic-Book
Sun Screen,2031P,f7ecc0,Magic-Book,Magic-Book
Powder Yellow,2032P,f2e9c2,Magic-Book,Magic-Book
Little Angel,2033P,f1e6c6,Magic-Book,Magic-Book
Mountain Shadow,203A,394669,Magic-Book,Magic-Book
Lime Bubble,2041P,ebecbf,Magic-Book,Magic-Book
Lily Bud,2042P,ebecc1,Magic-Book,Magic-Book
Tapioca,2043P,f4e9c1,Magic-Book,Magic-Book
Phoenician Purple,204A,484965,Magic-Book,Magic-Book
Early Sprout,2051P,e4ecba,Magic-Book,Magic-Book
Light Leaf,2052P,e8ebb9,Magic-Book,Magic-Book
Wafting Pollen,2053P,ede7bc,Magic-Book,Magic-Book
Calm Spirit,2061P,e3ebbb,Magic-Book,Magic-Book
Cloud Grass,2062P,eaebc1,Magic-Book,Magic-Book
Evasive Yellow,2063P,f0e9bd,Magic-Book,Magic-Book
Greenlet,2071P,e2ecbf,Magic-Book,Magic-Book
Transition Green,2072P,e6e8c0,Magic-Book,Magic-Book
Willow Wind,2073P,e4e9c4,Magic-Book,Magic-Book
Green Tinge,2081P,dcecc0,Magic-Book,Magic-Book
Dimity Green,2082P,dde7c2,Magic-Book,Magic-Book
Whispering Willow,2083P,e4eac8,Magic-Book,Magic-Book
Green Chiffon,2091P,cfe9bb,Magic-Book,Magic-Book
Barely Open,2092P,e1eeca,Magic-Book,Magic-Book
Obscure Green,2093P,e0ebcb,Magic-Book,Magic-Book
Gentle Rain,2101P,cfecbf,Magic-Book,Magic-Book
Subtle Touch,2102P,B7C7A7,Magic-Book,Magic-Book
Pine Scent,2103P,d6ecc5,Magic-Book,Magic-Book
Green Myth,2111P,c9e7b9,Magic-Book,Magic-Book
Green Touch,2112P,d2e8c4,Magic-Book,Magic-Book
Green Dash,2113P,A9B5A1,Magic-Book,Magic-Book
Golden Wonder,211A,b98541,Magic-Book,Magic-Book
Filtered Green,2121P,A7C2AD,Magic-Book,Magic-Book
Sweet Mint,2122P,A2B8A7,Magic-Book,Magic-Book
Green Star,2123P,A1B3A5,Magic-Book,Magic-Book
Baroque,212A,b36f3a,Magic-Book,Magic-Book
Nile Mist,2131P,8AA19A,Magic-Book,Magic-Book
Lolita Green,2132P,90ABA0,Magic-Book,Magic-Book
Teardrop,2133P,859E8C,Magic-Book,Magic-Book
Harvest Orange,213A,c6743c,Magic-Book,Magic-Book
Blue Brush,2141P,aee3d5,Magic-Book,Magic-Book
Bluebird,2142P,bce5d8,Magic-Book,Magic-Book
Lake Alone,2143P,c4ddd4,Magic-Book,Magic-Book
Tigerstripe,214A,d2691e,Magic-Book,Magic-Book
Pale Cerulean,2151P,a9dfd7,Magic-Book,Magic-Book
Venus Light,2152P,b2dfdb,Magic-Book,Magic-Book
Mystic Blue,2153P,c1dfdb,Magic-Book,Magic-Book
Cupid Green,2161P,a9dddb,Magic-Book,Magic-Book
Reflecting Green,2162P,b4e1dd,Magic-Book,Magic-Book
Sea Nymph Green,2163P,bbe2e2,Magic-Book,Magic-Book
Powdery,2171P,aad8df,Magic-Book,Magic-Book
Star Twinkle,2172P,b1dadd,Magic-Book,Magic-Book
Dreaming Blue,2173P,b7dee0,Magic-Book,Magic-Book
Harmonious,2181P,a7d4dd,Magic-Book,Magic-Book
Summer Ice,2182P,add7df,Magic-Book,Magic-Book
Sky Delight,2183P,b7e4e5,Magic-Book,Magic-Book
Bleu Night,2191P,a9d2d8,Magic-Book,Magic-Book
Fragile Blue,2192P,b1d8e0,Magic-Book,Magic-Book
Mermaid Flower,2193P,b7e2e7,Magic-Book,Magic-Book
Neon Green,21A,53C40E,Magic-Book,Magic-Book
Blue Genesis,2201P,abd0d9,Magic-Book,Magic-Book
Blue Bubble,2202P,b0dce3,Magic-Book,Magic-Book
